example_id,node_id,method,num_serializations,mean_score,topodev,topovar,min_score,max_score,score_swing,num_verdict_flips
spicedhotchocolate,1,ares,5,0.5171653628349304,0.040647468308782346,0.0016522166799134651,0.4669291377067566,0.5704724192619324,0.10354328155517578,1
spicedhotchocolate,2,ares,5,0.5682677090167999,0.0759001946442483,0.005760839547034777,0.41929134726524353,0.6271653175354004,0.20787397027015686,1
spicedhotchocolate,3,ares,5,0.5067716598510742,0.04000618897720765,0.0016004951564800509,0.4464567005634308,0.5629920959472656,0.11653539538383484,1
spicedhotchocolate,5,ares,5,0.5044881880283356,0.047138733251668195,0.002222060172571929,0.4472440779209137,0.5822834372520447,0.13503935933113098,1
spicedhotchocolate,6,ares,5,0.33228349685668945,0.0,0.0,0.33228349685668945,0.33228349685668945,0.0,0
spicedhotchocolate,7,ares,5,0.698031485080719,0.0,0.0,0.698031485080719,0.698031485080719,0.0,0
spicedhotchocolate,8,ares,5,0.5054330825805664,0.05493524081115763,0.003017880682979879,0.4055118262767792,0.5649606585502625,0.15944883227348328,1
spicedhotchocolate,9,ares,5,0.5206299185752868,0.025513040510937217,0.0006509152361127235,0.49251967668533325,0.5566929578781128,0.06417328119277954,1
spicedhotchocolate,1,sager,5,0.5897500048826138,0.0,0.0,0.5897500048826138,0.5897500048826138,0.0,0
spicedhotchocolate,2,sager,5,0.6320000053197146,0.0,0.0,0.6320000053197146,0.6320000053197146,0.0,0
spicedhotchocolate,3,sager,5,0.4687500077113511,0.0,0.0,0.4687500077113511,0.4687500077113511,0.0,0
spicedhotchocolate,5,sager,5,0.649000006839633,0.0,0.0,0.649000006839633,0.649000006839633,0.0,0
spicedhotchocolate,6,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
spicedhotchocolate,7,sager,5,0.38800000578165056,0.0,0.0,0.38800000578165056,0.38800000578165056,0.0,0
spicedhotchocolate,8,sager,5,0.6760000158846379,0.0,0.0,0.6760000158846379,0.6760000158846379,0.0,0
spicedhotchocolate,9,sager,5,0.5265000075226031,0.0,0.0,0.5265000075226031,0.5265000075226031,0.0,0
tomatomozzarellasalad,1,ares,5,0.47886794805526733,0.0,0.0,0.47886794805526733,0.47886794805526733,0.0,0
tomatomozzarellasalad,2,ares,5,0.5475471615791321,0.0,0.0,0.5475471615791321,0.5475471615791321,0.0,0
tomatomozzarellasalad,3,ares,5,0.5093585073947906,0.06244588331803829,0.003899488343370053,0.4000000059604645,0.5947169661521912,0.19471696019172668,1
tomatomozzarellasalad,4,ares,5,0.5252830386161804,0.0,0.0,0.5252830386161804,0.5252830386161804,0.0,0
tomatomozzarellasalad,5,ares,5,0.43064153790473936,0.05994534663925872,0.0035934445837008866,0.37132078409194946,0.5324528813362122,0.1611320972442627,1
