method,n_graphs,paper_macro_f1,paper_macro_f1_sd,our_macro_f1_mean,our_macro_f1_sd,our_error_class_f1_mean,our_error_class_f1_sd,our_sound_class_f1_mean,our_sound_class_f1_sd
ares,24,0.633,0.01,0.5831638372311769,0.03702270862690747,0.6430863052233211,0.03930533300996494,0.5232413692390329,0.05076210984695551
entail_prev,24,0.428,0.01,0.4102445168356415,0.028451852944742794,0.3832942565248226,0.026631440790195398,0.43719477714646054,0.047745496049111956
entail_base,24,0.589,0.007,0.4943148170472596,0.022898225472837295,0.6128134830984988,0.03297837026680121,0.37581615099602045,0.04372583732056354
roscoe_li_self,24,0.483,0.01,0.49564689003583645,0.029122192750453166,0.7248102404631335,0.036430540206446864,0.2664835396085396,0.031574476038027634
roscoe_li_source,24,0.361,0.007,0.27590086258135454,0.024059525854762936,0.0,0.0,0.5518017251627091,0.04811905170952587
receval_intra,24,0.396,0.01,0.3181468374474177,0.02088430247839061,0.09977935685172527,0.024262174152391618,0.53651431804311,0.04358768495249565
receval_inter,24,0.361,0.007,0.27590086258135454,0.024059525854762936,0.0,0.0,0.5518017251627091,0.04811905170952587
