method,n_graphs,mean_f1_mean,mean_f1_ci_low,mean_f1_ci_high,mean_f1_sd,delta_f1_mean,delta_f1_median,delta_f1_ci_low,delta_f1_ci_high,delta_f1_sd,mean_jaccard,mean_exact_match_rate,mean_flip_rate,total_zero_predicted_positive_orderings
ares,24,0.6430863052233211,0.5643333554884838,0.7187459124473009,0.03930533300996494,0.27877282768981576,0.204904214559387,0.20702388209705683,0.35885899382812697,0.03880077896297667,0.7307654722178323,0.004166666666666667,0.41641093684437336,1
entail_prev,24,0.3832942565248226,0.33106454787130185,0.4362342134674801,0.026631440790195398,0.22266665946114728,0.20703463203463202,0.18537610543836147,0.25848719048409446,0.01864369436700388,0.6043819966042189,0.0,0.40685755521281836,1
entail_base,24,0.6128134830984988,0.5467503017580394,0.6761111981757272,0.03297837026680121,0.07711515703890644,0.065054945054945,0.053767051420063126,0.1026214382928924,0.01252421209663272,0.902647181351548,0.0,0.14828326629797217,0
roscoe_li_self,24,0.7248102404631335,0.6522908393753629,0.7947469193555365,0.036430540206446864,0.053148259131938685,0.052631578947368474,0.03307826504420932,0.07417318769685693,0.010385439452237235,0.9256648931905854,0.016666666666666666,0.1903990037310471,0
roscoe_li_source,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,235
receval_intra,24,0.09977935685172527,0.053508297258297255,0.14972674742411585,0.024262174152391618,0.003947368421052631,0.0,0.0,0.011842105263157895,0.0038800214895027023,0.9444444444444445,0.0,0.011211664152840623,73
receval_inter,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,235
llm_judge_whole,24,0.11335783321187087,0.05655839027530204,0.18742746909523225,0.033593559462670515,0.3787093462093462,0.33333333333333337,0.2626956376956377,0.5020637695637695,0.06108140900900511,0.5936020923520924,0.013888888888888888,0.3804409291831892,158
