method,recipe_name,fold,threshold,num_orderings,mean_f1,min_f1,max_f1,delta_f1,mean_pairwise_jaccard,exact_match_rate,flip_rate,num_zero_predicted_positive_orderings
ares,blenderbananapancakes,1,0.17454545199871063,10,0.6973015873015873,0.4444444444444444,0.8571428571428571,0.4126984126984127,0.6399470899470899,0.0,0.4666666666666667,0
ares,breakfastburritos,0,0.1678321659564972,10,0.7842424242424243,0.6666666666666666,0.888888888888889,0.22222222222222232,0.8226190476190477,0.0,0.25,0
ares,broccolistirfry,0,0.1678321659564972,10,0.39331614684209354,0.24999999999999994,0.5999999999999999,0.3499999999999999,0.5007249038466789,0.0,0.8076923076923077,0
ares,buttercorncup,2,0.17454545199871063,10,0.6515406162464986,0.5714285714285714,0.7058823529411764,0.134453781512605,0.9166666666666666,0.0,0.23076923076923078,0
ares,capresebruschetta,2,0.17454545199871063,10,0.29646464646464643,0.0,0.5,0.5,0.4154585537918871,0.0,0.75,1
ares,cheesepimiento,1,0.17454545199871063,10,0.8142717086834734,0.7142857142857143,0.9411764705882353,0.22689075630252098,0.7341558441558441,0.0,0.4166666666666667,0
ares,coffee,3,0.17454545199871063,10,0.6748993035949558,0.608695652173913,0.761904761904762,0.153209109730849,0.8161690161690162,0.0,0.4117647058823529,0
ares,cucumberraita,4,0.1779935359954834,10,0.25246031746031744,0.0,0.6,0.6,0.42743386243386244,0.0,0.8333333333333334,0
ares,dressedupmeatballs,0,0.1678321659564972,10,0.5154260935143288,0.30769230769230765,0.6666666666666667,0.3589743589743591,0.6011976911976912,0.0,0.47058823529411764,0
ares,herbomeletwithfriedtomatoes,4,0.1779935359954834,10,0.5461816305469556,0.26666666666666666,0.7000000000000001,0.4333333333333334,0.566710758377425,0.0,0.6875,0
ares,microwaveeggsandwich,0,0.1678321659564972,10,0.48926406926406923,0.0,0.8,0.8,0.4931216931216931,0.0,0.5384615384615384,0
ares,microwavefrenchtoast,2,0.17454545199871063,10,0.4092773892773892,0.1818181818181818,0.7272727272727272,0.5454545454545454,0.6692857142857143,0.0,0.5,0
ares,microwavemugpizza,1,0.17454545199871063,10,0.8614812723508376,0.7826086956521738,0.9090909090909091,0.12648221343873522,0.8825563325563326,0.0,0.2,0
ares,mugcake,4,0.1779935359954834,10,0.76528411197627,0.7333333333333333,0.8125,0.07916666666666672,0.8481390704429921,0.0,0.2857142857142857,0
ares,panfriedtofu,3,0.17454545199871063,10,0.7384240102171137,0.64,0.8275862068965517,0.1875862068965517,0.7732833832833833,0.0,0.4,0
ares,pinwheels,0,0.1678321659564972,9,0.905784395869785,0.8387096774193548,0.9411764705882353,0.10246679316888052,0.882465764083411,0.0,0.25,0
ares,ramen,4,0.1779935359954834,10,0.7262820512820513,0.6153846153846153,0.8,0.18461538461538474,0.7685185185185186,0.0,0.3125,0
ares,sautedmushrooms,1,0.17454545199871063,10,0.8020523968784838,0.6956521739130435,0.8799999999999999,0.18434782608695643,0.8766122766122766,0.0,0.2631578947368421,0
ares,scrambledeggs,2,0.17454545199871063,10,0.8073399937370525,0.7222222222222222,0.8484848484848485,0.1262626262626263,0.8016140703097224,0.0,0.5833333333333334,0
ares,spicedhotchocolate,3,0.17454545199871063,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,0
ares,spicytunaavocadowraps,3,0.17454545199871063,10,0.8204245908889872,0.5882352941176471,0.9,0.31176470588235294,0.7566459466459466,0.0,0.5,0
ares,tomatochutney,2,0.17454545199871063,10,0.93213545353423,0.8275862068965517,1.0,0.1724137931034483,0.822822906940554,0.1,0.35,0
ares,tomatomozzarellasalad,1,0.17454545199871063,10,0.39743589743589747,0.33333333333333337,0.4615384615384615,0.12820512820512814,0.7703703703703704,0.0,0.2,0
ares,zoodles,3,0.17454545199871063,10,0.48611455108359125,0.25,0.6,0.35,0.7518518518518519,0.0,0.2857142857142857,0
entail_prev,blenderbananapancakes,1,0.4000000059604645,10,0.6247835497835498,0.5454545454545454,0.7499999999999999,0.20454545454545447,0.6234391534391535,0.0,0.3333333333333333,0
entail_prev,breakfastburritos,0,1.0,10,0.45031746031746034,0.28571428571428575,0.5714285714285715,0.28571428571428575,0.6648148148148149,0.0,0.3333333333333333,0
entail_prev,broccolistirfry,0,1.0,10,0.2692777398040556,0.1904761904761905,0.4,0.20952380952380953,0.5622177822177822,0.0,0.5384615384615384,0
entail_prev,buttercorncup,2,0.4000000059604645,10,0.5538461538461539,0.4615384615384615,0.6153846153846153,0.1538461538461538,0.8513227513227514,0.0,0.23076923076923078,0
entail_prev,capresebruschetta,2,0.4000000059604645,10,0.2357142857142857,0.0,0.3333333333333333,0.3333333333333333,0.2733333333333334,0.0,0.6666666666666666,1
entail_prev,cheesepimiento,1,0.4000000059604645,10,0.5496062271062272,0.42857142857142855,0.6666666666666666,0.23809523809523808,0.7243386243386243,0.0,0.4166666666666667,0
entail_prev,coffee,3,0.4000000059604645,10,0.3053921568627451,0.14285714285714288,0.47058823529411764,0.32773109243697474,0.4685978835978836,0.0,0.5882352941176471,0
entail_prev,cucumberraita,4,0.4000000059604645,10,0.18833333333333332,0.0,0.4,0.4,0.40582010582010586,0.0,0.5833333333333334,0
entail_prev,dressedupmeatballs,0,1.0,10,0.3369527041585865,0.26666666666666666,0.42857142857142855,0.16190476190476188,0.5812698412698413,0.0,0.4117647058823529,0
entail_prev,herbomeletwithfriedtomatoes,4,0.4000000059604645,10,0.2968552036199095,0.15384615384615385,0.47058823529411764,0.3167420814479638,0.39396825396825397,0.0,0.5,0
