method,n_cases,frac_exceeds_noise_v,frac_correct_direction_v,median_normalized_effect_v,frac_exceeds_noise_u,frac_correct_direction_u,median_normalized_effect_u
ares,245,0.1510204081632653,0.5877551020408164,0.229728314194284,0.16326530612244897,0.49387755102040815,0.26086960747022697
entail_prev,245,0.3877551020408163,0.5306122448979592,0.5,0.23673469387755103,0.3183673469387755,0.0
entail_base,245,0.08163265306122448,0.061224489795918366,1.0,0.08979591836734693,0.053061224489795916,0.0
