method,recipe_name,edge_violated,violation_effect_v,normalized_effect_v,exceeds_noise_v,correct_direction_v,violation_effect_u,normalized_effect_u,exceeds_noise_u,correct_direction_u
ares,coffee,7->5,0.02397260256111622,0.03240740544894728,False,True,-0.05821917951107025,0.06800000247144702,False,False
ares,coffee,1->6,0.0,0.0,False,False,0.0,0.0,False,False
ares,coffee,11->8,0.0,,False,False,0.0,0.0,False,False
ares,coffee,15->9,-0.023972630500793457,0.09210536259527563,False,False,0.6746575310826302,0.9800994813247491,False,True
ares,coffee,6->11,0.0,0.0,False,False,0.0,0.0,False,False
ares,coffee,10->12,0.1780822053551674,0.19475657576099306,False,True,0.089726023375988,0.0988679206310196,False,True
ares,coffee,8->17,0.0,,False,False,0.0,,False,False
ares,cucumberraita,10->6,0.2909090518951416,0.37037033664346086,False,True,0.5789090692996979,0.6661088316631503,False,True
ares,cucumberraita,5->10,0.7636363366618752,0.8786611490552361,False,True,0.08727258443832397,0.10762314204320726,False,True
ares,cucumberraita,3->4,0.007272727321833372,0.014598541067061445,False,True,0.30545443296432495,1.7872313490145366,True,True
ares,cucumberraita,6->12,-0.04363638162612915,0.06521741793242701,False,False,0.8945454219356179,1.138888896398396,True,True
ares,dressedupmeatballs,12->2,-0.09589039534330368,0.4057970671775409,False,False,-0.010273972526192665,0.5,False,False
ares,dressedupmeatballs,1->3,0.6301369667053223,0.8975609043763585,False,True,0.020547956228256226,0.030303049947752812,False,True
ares,dressedupmeatballs,8->5,-0.03767114877700806,0.6874980963776787,False,False,-0.4486301839351654,0.668367407025178,False,False
ares,dressedupmeatballs,16->6,0.017123287543654442,1.0,False,True,-0.010274052619934082,0.01357476709345568,False,False
ares,dressedupmeatballs,13->7,0.034246623516082764,0.3703708717361624,False,True,-0.13698630034923553,0.5970149641447038,False,False
ares,dressedupmeatballs,7->8,-0.5136986672878265,0.7653061665085661,False,False,0.13013708591461182,1.4074084101389914,True,True
ares,dressedupmeatballs,15->12,0.0,0.0,False,False,-0.012328768149018288,0.014888338959245576,False,False
ares,dressedupmeatballs,2->13,0.06506848335266113,0.2835820673797475,False,True,0.05479452572762966,0.23188409806894383,False,True
ares,dressedupmeatballs,5->14,-0.36986297369003296,0.6878980461001265,False,False,0.5308218896389008,9.687494289133037,True,True
ares,dressedupmeatballs,3->15,0.011643834412097931,0.01406120639282571,False,True,0.47602736949920654,0.6780487082190381,False,True
ares,dressedupmeatballs,4->16,-0.08904117345809937,0.11764716768887266,False,False,0.0719178095459938,0.12352941575450474,False,True
ares,dressedupmeatballs,14->17,0.7431505918502808,1.1729728865222873,True,True,-0.08904111385345459,0.16560513649496167,False,False
ares,herbomeletwithfriedtomatoes,14->1,0.26643598079681396,1.0,False,True,0.1937716007232666,0.2372881176548924,False,True
ares,herbomeletwithfriedtomatoes,10->2,-0.03114187717437744,0.07377051610727006,False,False,-0.07612460851669312,0.17187507569905555,False,False
ares,herbomeletwithfriedtomatoes,7->4,0.21453287452459335,0.8493150761702267,False,True,0.23529411852359772,1.0,False,True
ares,herbomeletwithfriedtomatoes,1->6,0.297577828168869,0.651515188588466,False,True,0.26643598079681396,1.0,False,True
ares,herbomeletwithfriedtomatoes,2->7,0.23529411852359772,1.0,False,True,-0.013840794563293457,0.032786801917931194,False,False
ares,herbomeletwithfriedtomatoes,3->8,-0.05536332726478577,0.08733624659447535,False,False,0.056055362336337566,0.8437499964954137,False,True
ares,herbomeletwithfriedtomatoes,11->9,0.11418686807155609,0.3837209634216892,False,True,-0.31833912432193756,1.0109890291903438,True,False
ares,herbomeletwithfriedtomatoes,6->10,0.44290652871131897,0.9999997981358518,False,True,-0.21799308061599731,0.4772727991949574,False,False
ares,herbomeletwithfriedtomatoes,4->11,0.21453286055475473,0.6813186060106668,False,True,-0.1314878761768341,0.5205478918700042,False,False
ares,herbomeletwithfriedtomatoes,8->14,0.05882340669631958,0.07203375209224809,False,True,-0.038062289357185364,0.06004367247204464,False,False
ares,herbomeletwithfriedtomatoes,9->16,0.16262978315353394,0.3643410894118718,False,True,-0.27681663632392883,0.9302325930754624,False,False
ares,microwaveeggsandwich,3->1,-0.04659503698348999,0.14772740157301756,False,False,-0.1433691382408142,0.7407403415369037,False,False
ares,microwaveeggsandwich,10->2,-0.16487455368041992,0.2569832531987895,False,False,0.02867383509874344,0.05839416069469402,False,True
ares,microwaveeggsandwich,1->4,0.0860215425491333,1.4117648209667133,True,True,0.7813619822263718,2.477271889775386,True,True
ares,microwaveeggsandwich,6->5,0.05376344174146652,0.12096774301701975,False,True,0.6164873912930489,1.0361446113541868,True,True
ares,microwaveeggsandwich,8->6,0.6401433032006025,1.075903649407294,True,True,0.02365589141845703,0.5076918747297674,False,True
ares,microwaveeggsandwich,2->7,-0.6093190610408783,1.042944888550559,True,False,0.06451611965894699,0.10055864864298657,False,True
ares,microwaveeggsandwich,11->8,0.6946236491203308,14.907693665620275,True,True,0.28673839569091797,3.3333324094617387,True,True
ares,microwaveeggsandwich,12->9,0.010752677917480469,0.012931020888329595,False,True,0.0788530483841896,0.10045662182805878,False,True
ares,microwaveeggsandwich,5->10,0.02867383509874344,0.05839416069469402,False,True,0.05376344174146652,0.12096774301701975,False,True
ares,microwaveeggsandwich,4->11,0.7455197721719742,8.66666360634201,True,True,0.11469537019729614,1.8823527685499302,True,True
ares,microwaveeggsandwich,7->13,0.15412186086177826,0.27388534580668217,False,True,-0.2795698940753937,0.4785276067360572,False,False
ares,microwavefrenchtoast,3->1,0.5163636207580566,1.2033900223914613,True,True,0.19272729009389877,0.3231707460289634,False,True
ares,microwavefrenchtoast,4->3,0.15636365115642548,0.2621951347492864,False,True,0.033454541116952896,0.15862066346518655,False,True
ares,microwavefrenchtoast,6->4,-0.045818179845809937,0.21724136225640053,False,False,0.45454542711377144,1.118067977402028,True,True
ares,microwavefrenchtoast,8->7,0.3454545736312866,0.5555556181278475,False,True,0.23636364936828613,0.4676259573936429,False,True
ares,microwavefrenchtoast,1->8,0.2072727084159851,0.4100719335382007,False,True,0.4763636291027069,1.110169685174205,True,True
ares,microwavefrenchtoast,5->9,0.14545458555221558,1.2987010982683262,True,True,0.676363579928875,5.3142878501705395,True,True
ares,microwavefrenchtoast,9->12,0.0181818176060915,0.22727272515608501,False,True,0.09454548358917236,0.844155740483617,False,True
ares,microwavefrenchtoast,12->11,-0.01818181574344635,0.08333332195050189,False,False,0.0181818176060915,0.22727272515608501,False,True
ares,microwavefrenchtoast,7->13,0.06545454729348421,0.5625000097543306,False,True,0.3454545736312866,0.5555556181278475,False,True
ares,microwavemugpizza,12->2,0.0,0.0,False,False,0.0,0.0,False,False
ares,microwavemugpizza,10->3,0.0,0.0,False,False,0.00699300691485405,0.0625,False,True
ares,microwavemugpizza,3->4,0.003496505320072174,0.03846155737455018,False,True,0.0,0.0,False,False
ares,microwavemugpizza,2->5,0.0,0.0,False,False,0.0,0.0,False,False
ares,microwavemugpizza,11->7,0.2657342553138733,0.9620252635340117,False,True,-0.04195809364318848,0.2727276249365583,False,False
ares,microwavemugpizza,14->10,0.00699300691485405,0.0625,False,True,0.0,0.0,False,False
ares,microwavemugpizza,1->11,-0.013985991477966309,0.09090895002537668,False,False,0.00699300691485405,1.0,False,True
ares,microwavemugpizza,4->12,0.0,0.0,False,False,-0.34265734255313873,3.769230655752699,True,False
