dataset,method,n_examples,mean,median,std,ci_low_95,ci_high_95
captaincookrecipes,ares,24,0.024291807520540023,0.0254507834268186,0.014732423085520205,0.01863463551713031,0.030395867683276793
captaincookrecipes,entail_prev,24,0.08091607947709513,0.09019764957264957,0.03135113572634189,0.06776705496826112,0.09307719889924311
captaincookrecipes,entail_base,24,0.03191580145828512,0.031030389363722696,0.02198813085831891,0.023440017982501643,0.04085907012377601
