dataset,method,recipe_name,threshold,num_orderings,ground_truth_error_node_ids,mean_pairwise_jaccard,frac_orderings_exact_match_gt,mean_recall,mean_precision
captaincookrecipes,entail_prev,microwavefrenchtoast,0.4000000059604645,10,1;10;13;3;7;8,0.7286772486772487,0.0,0.4333333333333333,0.5
captaincookrecipes,entail_prev,microwavemugpizza,0.4000000059604645,10,1;10;11;12;14;15;2;3;4;5;7,0.741005291005291,0.0,0.4,0.6196428571428572
captaincookrecipes,entail_prev,mugcake,0.4000000059604645,10,1;12;13;14;15;16;18;19;2;20;21;3;5;7;9,0.5384616001282668,0.0,0.16666666666666669,0.3813492063492063
captaincookrecipes,entail_prev,panfriedtofu,0.4000000059604645,10,10;11;13;14;15;16;17;18;2;20;3;4;6;7;8;9,0.7646825396825396,0.0,0.3125,0.7597619047619049
captaincookrecipes,entail_prev,pinwheels,0.4000000059604645,9,1;10;11;12;14;15;17;18;19;2;20;3;4;5;6;7;8;9,0.8247354497354498,0.0,0.24074074074074073,0.8111111111111112
captaincookrecipes,entail_prev,ramen,0.4000000059604645,10,1;16;2;9,0.584320987654321,0.0,0.575,0.42023809523809524
captaincookrecipes,entail_prev,sautedmushrooms,0.4000000059604645,10,11;12;13;15;16;17;18;19;3;4;5;8;9,0.7260622093955427,0.0,0.46923076923076923,0.8253968253968254
captaincookrecipes,entail_prev,scrambledeggs,0.4000000059604645,10,1;11;13;14;15;16;17;18;21;22;24;3;5;8;9,0.5295903479236812,0.0,0.2733333333333333,0.5589285714285714
captaincookrecipes,entail_prev,spicedhotchocolate,0.4000000059604645,6,1;3;8;9,1.0,0.0,0.5,0.4000000000000001
captaincookrecipes,entail_prev,spicytunaavocadowraps,0.4000000059604645,10,13;14;16;18;2;6;7;8;9,0.4638095238095238,0.0,0.2,0.38523809523809527
captaincookrecipes,entail_prev,tomatochutney,0.4000000059604645,10,1;10;13;14;15;16;18;19;2;20;3;4;5;6;7;8;9,0.48250440917107584,0.0,0.31176470588235294,0.9016666666666667
captaincookrecipes,entail_prev,tomatomozzarellasalad,0.4000000059604645,10,1;10;2;3;4;5;6;7;8;9,0.6185185185185185,0.0,0.17,1.0
captaincookrecipes,entail_prev,zoodles,0.4000000059604645,10,1;10;11;12;13;14;2;3;4;5;6;7;8,0.5273809523809524,0.0,0.26153846153846155,0.755
captaincookrecipes,entail_base,blenderbananapancakes,1.0,10,15;2;4,0.888047138047138,0.0,1.0,0.2768181818181818
captaincookrecipes,entail_base,breakfastburritos,1.0,10,12;4;7;8,0.9143434343434345,0.0,1.0,0.4177777777777778
captaincookrecipes,entail_base,broccolistirfry,1.0,10,11;12;15;16;17;2;20;23;25;26;4;7;9,0.9042120551924473,0.0,0.5538461538461539,0.4524754901960784
captaincookrecipes,entail_base,buttercorncup,1.0,10,1;10;11;13;14;7;9,0.98,0.0,0.8571428571428571,0.6066666666666667
captaincookrecipes,entail_base,capresebruschetta,1.0,10,12;4;5;7,0.888641975308642,0.0,0.75,0.33166666666666667
captaincookrecipes,entail_base,cheesepimiento,1.0,10,1;11;12;2;4;5;6;7,0.7992063492063493,0.0,0.6375,0.75
captaincookrecipes,entail_base,coffee,1.0,10,1;11;13;15;16;17;2;6;8;9,1.0,0.0,0.7,0.7
