method,threshold,n_examples,mean_pairwise_jaccard,mean_frac_orderings_exact_match_gt,mean_recall,mean_precision
ares,0.17454545199871063,24,0.7340284487959211,0.004166666666666667,0.6837398740738201,0.6722426309500613
entail_prev,0.4000000059604645,24,0.6041009119481342,0.0,0.33555400187140383,0.5455487914862914
entail_base,1.0,24,0.902647181351548,0.0,0.6896233407569192,0.6130708858250675
