example_id,node_id,method,num_serializations,mean_score,topodev,topovar,min_score,max_score,score_swing,num_verdict_flips
spicedhotchocolate,1,ares,5,0.9999999046325684,2.9200193199910855e-08,8.526512829121202e-16,0.9999998807907104,0.9999999403953552,5.960464477539063e-08,0
spicedhotchocolate,2,ares,5,0.8803148865699768,0.016997671250870386,0.0002889208279526656,0.858267605304718,0.9094487428665161,0.051181137561798096,0
spicedhotchocolate,3,ares,5,0.9403148889541626,0.01864261746468601,0.00034754718593461577,0.9094488024711609,0.9606298804283142,0.05118107795715332,0
spicedhotchocolate,5,ares,5,0.9598424196243286,0.019826255604390147,0.00039308041129061173,0.9212597608566284,0.9763778448104858,0.05511808395385742,0
spicedhotchocolate,6,ares,5,0.9330707788467407,0.0,0.0,0.9330707788467407,0.9330707788467407,0.0,0
spicedhotchocolate,7,ares,5,0.9960628747940063,0.0,0.0,0.9960628747940063,0.9960628747940063,0.0,0
spicedhotchocolate,8,ares,5,0.27102360129356384,0.2852330256188662,0.0813578789036928,0.03779527544975281,0.8173227310180664,0.7795274555683136,1
spicedhotchocolate,9,ares,5,0.9999999403953552,3.769728732309794e-08,1.4210854715202005e-15,0.9999998807907104,1.0,1.1920928955078125e-07,0
spicedhotchocolate,1,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
spicedhotchocolate,2,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
spicedhotchocolate,3,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
spicedhotchocolate,5,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
spicedhotchocolate,6,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
spicedhotchocolate,7,sager,5,1.0,0.0,0.0,1.0,1.0,0.0,0
spicedhotchocolate,8,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
spicedhotchocolate,9,sager,5,0.0,0.0,0.0,0.0,0.0,0.0,0
tomatomozzarellasalad,1,ares,5,0.8679244518280029,0.0,0.0,0.8679244518280029,0.8679244518280029,0.0,0
tomatomozzarellasalad,2,ares,5,0.9962263703346252,0.0,0.0,0.9962263703346252,0.9962263703346252,0.0,0
tomatomozzarellasalad,3,ares,5,0.4188679218292236,0.22662882537177131,0.051360624489388815,0.1471698135137558,0.698113203048706,0.5509433895349503,1
tomatomozzarellasalad,4,ares,5,0.9773585796356201,0.0,0.0,0.9773585796356201,0.9773585796356201,0.0,0
tomatomozzarellasalad,5,ares,5,0.9817358613014221,0.02089569944201565,0.0004366302551710532,0.9509434700012207,1.0,0.0490565299987793,0
tomatomozzarellasalad,6,ares,5,0.9388678908348084,0.052797803616727486,0.002787608066750522,0.8754717111587524,1.0,0.12452828884124756,0
tomatomozzarellasalad,7,ares,5,0.9188680052757263,0.0,0.0,0.9188680052757263,0.9188680052757263,0.0,0
