dataset,method,recipe_name,ordering_index,node_id,position,score
captaincookrecipes,sager,blenderbananapancakes,5,13,0,0.8811188340187073
captaincookrecipes,sager,blenderbananapancakes,5,1,1,0.4895104765892029
captaincookrecipes,sager,blenderbananapancakes,5,5,2,0.1258741319179535
captaincookrecipes,sager,blenderbananapancakes,5,9,3,0.0
captaincookrecipes,sager,blenderbananapancakes,5,12,4,0.0419580414891243
captaincookrecipes,sager,blenderbananapancakes,5,7,5,0.11188811808824539
captaincookrecipes,sager,blenderbananapancakes,5,3,6,0.04335664212703705
captaincookrecipes,sager,blenderbananapancakes,5,11,7,0.7657342553138733
captaincookrecipes,sager,blenderbananapancakes,5,6,8,0.7692307829856873
captaincookrecipes,sager,blenderbananapancakes,5,8,9,0.9545454382896423
captaincookrecipes,sager,blenderbananapancakes,5,10,10,0.9510489702224731
captaincookrecipes,sager,blenderbananapancakes,5,14,11,0.961538553237915
captaincookrecipes,sager,blenderbananapancakes,5,2,12,0.38461536169052124
captaincookrecipes,sager,blenderbananapancakes,5,4,13,0.08041957765817642
captaincookrecipes,sager,blenderbananapancakes,5,15,14,0.10489509999752045
captaincookrecipes,sager,blenderbananapancakes,6,5,0,0.19930072128772736
captaincookrecipes,sager,blenderbananapancakes,6,13,1,0.8706293106079102
captaincookrecipes,sager,blenderbananapancakes,6,9,2,0.0
captaincookrecipes,sager,blenderbananapancakes,6,12,3,0.0279720276594162
captaincookrecipes,sager,blenderbananapancakes,6,1,4,0.46153849363327026
captaincookrecipes,sager,blenderbananapancakes,6,7,5,0.03146853297948837
captaincookrecipes,sager,blenderbananapancakes,6,3,6,0.016083916649222374
captaincookrecipes,sager,blenderbananapancakes,6,11,7,0.671328604221344
captaincookrecipes,sager,blenderbananapancakes,6,6,8,0.7062937021255493
captaincookrecipes,sager,blenderbananapancakes,6,8,9,0.9090908765792847
captaincookrecipes,sager,blenderbananapancakes,6,10,10,0.8986012935638428
captaincookrecipes,sager,blenderbananapancakes,6,14,11,0.923076868057251
captaincookrecipes,sager,blenderbananapancakes,6,2,12,0.19930069148540497
captaincookrecipes,sager,blenderbananapancakes,6,4,13,0.0
captaincookrecipes,sager,blenderbananapancakes,6,15,14,0.23076923191547394
captaincookrecipes,sager,blenderbananapancakes,7,12,0,0.09090909361839294
captaincookrecipes,sager,blenderbananapancakes,7,5,1,0.2097901999950409
captaincookrecipes,sager,blenderbananapancakes,7,1,2,0.440559446811676
captaincookrecipes,sager,blenderbananapancakes,7,9,3,0.0
captaincookrecipes,sager,blenderbananapancakes,7,7,4,0.07692307978868484
captaincookrecipes,sager,blenderbananapancakes,7,3,5,0.06923077255487442
captaincookrecipes,sager,blenderbananapancakes,7,11,6,0.6293706297874451
captaincookrecipes,sager,blenderbananapancakes,7,13,7,0.8951049447059631
captaincookrecipes,sager,blenderbananapancakes,7,6,8,0.618881106376648
captaincookrecipes,sager,blenderbananapancakes,7,8,9,0.8391608595848083
captaincookrecipes,sager,blenderbananapancakes,7,10,10,0.7867133021354675
captaincookrecipes,sager,blenderbananapancakes,7,14,11,0.8321678638458252
captaincookrecipes,sager,blenderbananapancakes,7,2,12,0.35314688086509705
captaincookrecipes,sager,blenderbananapancakes,7,4,13,0.08741258829832077
captaincookrecipes,sager,blenderbananapancakes,7,15,14,0.003496503457427025
captaincookrecipes,sager,blenderbananapancakes,8,5,0,0.19930072128772736
captaincookrecipes,sager,blenderbananapancakes,8,1,1,0.4895104765892029
captaincookrecipes,sager,blenderbananapancakes,8,12,2,0.04545454680919647
captaincookrecipes,sager,blenderbananapancakes,8,9,3,0.0
captaincookrecipes,sager,blenderbananapancakes,8,7,4,0.0839160829782486
captaincookrecipes,sager,blenderbananapancakes,8,3,5,0.05664335936307907
captaincookrecipes,sager,blenderbananapancakes,8,13,6,0.8741259574890137
captaincookrecipes,sager,blenderbananapancakes,8,11,7,0.7517483234405518
captaincookrecipes,sager,blenderbananapancakes,8,6,8,0.7132866978645325
captaincookrecipes,sager,blenderbananapancakes,8,8,9,1.0
captaincookrecipes,sager,blenderbananapancakes,8,10,10,1.0
captaincookrecipes,sager,blenderbananapancakes,8,14,11,1.0
captaincookrecipes,sager,blenderbananapancakes,8,2,12,0.28321680426597595
captaincookrecipes,sager,blenderbananapancakes,8,4,13,0.0
captaincookrecipes,sager,blenderbananapancakes,8,15,14,0.18881118297576904
captaincookrecipes,sager,blenderbananapancakes,9,9,0,0.003496503457427025
captaincookrecipes,sager,blenderbananapancakes,9,13,1,0.8811188340187073
captaincookrecipes,sager,blenderbananapancakes,9,5,2,0.17132866382598877
captaincookrecipes,sager,blenderbananapancakes,9,12,3,0.024475524201989174
captaincookrecipes,sager,blenderbananapancakes,9,1,4,0.3986014127731323
captaincookrecipes,sager,blenderbananapancakes,9,7,5,0.017482517287135124
captaincookrecipes,sager,blenderbananapancakes,9,3,6,0.002797202905640006
captaincookrecipes,sager,blenderbananapancakes,9,11,7,0.6468532085418701
captaincookrecipes,sager,blenderbananapancakes,9,6,8,0.6363636255264282
captaincookrecipes,sager,blenderbananapancakes,9,8,9,0.9720280170440674
captaincookrecipes,sager,blenderbananapancakes,9,10,10,0.9895104765892029
captaincookrecipes,sager,blenderbananapancakes,9,14,11,0.9999999403953552
captaincookrecipes,sager,blenderbananapancakes,9,2,12,0.41258740425109863
captaincookrecipes,sager,blenderbananapancakes,9,4,13,0.13636362552642822
captaincookrecipes,sager,blenderbananapancakes,9,15,14,0.19580420851707458
captaincookrecipes,sager,breakfastburritos,0,10,0,0.05090908706188202
captaincookrecipes,sager,breakfastburritos,0,6,1,0.04363636299967766
captaincookrecipes,sager,breakfastburritos,0,1,2,0.945454478263855
captaincookrecipes,sager,breakfastburritos,0,2,3,0.9127272367477417
captaincookrecipes,sager,breakfastburritos,0,9,4,0.9127272963523865
captaincookrecipes,sager,breakfastburritos,0,3,5,0.9236363172531128
captaincookrecipes,sager,breakfastburritos,0,11,6,0.014545454643666744
captaincookrecipes,sager,breakfastburritos,0,5,7,0.13818182051181793
captaincookrecipes,sager,breakfastburritos,0,8,8,0.9214545488357544
captaincookrecipes,sager,breakfastburritos,0,4,9,0.02545454539358616
captaincookrecipes,sager,breakfastburritos,0,7,10,0.014545454643666744
captaincookrecipes,sager,breakfastburritos,0,12,11,0.007272727321833372
captaincookrecipes,sager,breakfastburritos,1,10,0,0.098181813955307
captaincookrecipes,sager,breakfastburritos,1,6,1,0.010909090749919415
captaincookrecipes,sager,breakfastburritos,1,1,2,0.9818181395530701
captaincookrecipes,sager,breakfastburritos,1,2,3,0.9520000219345093
captaincookrecipes,sager,breakfastburritos,1,3,4,0.9250909090042114
captaincookrecipes,sager,breakfastburritos,1,11,5,0.02181818149983883
captaincookrecipes,sager,breakfastburritos,1,9,6,0.8763636350631714
captaincookrecipes,sager,breakfastburritos,1,5,7,0.13090908527374268
captaincookrecipes,sager,breakfastburritos,1,8,8,0.9563636183738708
captaincookrecipes,sager,breakfastburritos,1,4,9,0.013090909458696842
captaincookrecipes,sager,breakfastburritos,1,7,10,0.0
captaincookrecipes,sager,breakfastburritos,1,12,11,0.0
captaincookrecipes,sager,breakfastburritos,2,10,0,0.098181813955307
captaincookrecipes,sager,breakfastburritos,2,6,1,0.010909090749919415
captaincookrecipes,sager,breakfastburritos,2,1,2,0.9818181395530701
captaincookrecipes,sager,breakfastburritos,2,2,3,0.9520000219345093
captaincookrecipes,sager,breakfastburritos,2,3,4,0.9250909090042114
captaincookrecipes,sager,breakfastburritos,2,9,5,0.8436362743377686
captaincookrecipes,sager,breakfastburritos,2,11,6,0.010909090749919415
captaincookrecipes,sager,breakfastburritos,2,5,7,0.1345454454421997
captaincookrecipes,sager,breakfastburritos,2,8,8,0.9018181562423706
captaincookrecipes,sager,breakfastburritos,2,4,9,0.010909090749919415
captaincookrecipes,sager,breakfastburritos,2,7,10,0.0
captaincookrecipes,sager,breakfastburritos,2,12,11,0.0
captaincookrecipes,sager,breakfastburritos,3,6,0,0.02181818149983883
captaincookrecipes,sager,breakfastburritos,3,1,1,0.9418181777000427
captaincookrecipes,sager,breakfastburritos,3,2,2,0.8778181672096252
captaincookrecipes,sager,breakfastburritos,3,10,3,0.06909091025590897
captaincookrecipes,sager,breakfastburritos,3,11,4,0.05454545468091965
captaincookrecipes,sager,breakfastburritos,3,9,5,0.8327271938323975
captaincookrecipes,sager,breakfastburritos,3,3,6,0.836363673210144
captaincookrecipes,sager,breakfastburritos,3,5,7,0.08363636583089828
captaincookrecipes,sager,breakfastburritos,3,8,8,0.9127271771430969
captaincookrecipes,sager,breakfastburritos,3,4,9,0.010181818157434464
captaincookrecipes,sager,breakfastburritos,3,7,10,0.018909091129899025
captaincookrecipes,sager,breakfastburritos,3,12,11,0.014545454643666744
captaincookrecipes,sager,breakfastburritos,4,10,0,0.098181813955307
captaincookrecipes,sager,breakfastburritos,4,6,1,0.010909090749919415
captaincookrecipes,sager,breakfastburritos,4,1,2,0.9818181395530701
captaincookrecipes,sager,breakfastburritos,4,2,3,0.9520000219345093
captaincookrecipes,sager,breakfastburritos,4,11,4,0.010909090749919415
captaincookrecipes,sager,breakfastburritos,4,3,5,0.9105454087257385
captaincookrecipes,sager,breakfastburritos,4,9,6,0.8836362361907959
captaincookrecipes,sager,breakfastburritos,4,5,7,0.13090908527374268
captaincookrecipes,sager,breakfastburritos,4,8,8,0.9236363172531128
captaincookrecipes,sager,breakfastburritos,4,4,9,0.03999999910593033
captaincookrecipes,sager,breakfastburritos,4,7,10,0.0014545455342158675
captaincookrecipes,sager,breakfastburritos,4,12,11,0.0
captaincookrecipes,sager,breakfastburritos,5,6,0,0.02181818149983883
captaincookrecipes,sager,breakfastburritos,5,1,1,0.9418181777000427
