dataset,method,n_examples,mean,median,std,ci_low_95,ci_high_95
captaincookrecipes,ares,24,0.3203591036721068,0.311153019143967,0.13967077821636617,0.2635071121550932,0.37529003527605087
captaincookrecipes,sager,24,0.08557113939174787,0.07548550582820704,0.035824298006439693,0.07113442762598068,0.1001113480162542
