method,threshold,n_examples,mean_pairwise_jaccard,mean_frac_orderings_exact_match_gt,mean_recall,mean_precision
ares,0.17491750419139862,24,0.7333666094549355,0.008333333333333333,0.672331722191812,0.6621920044036916
sager,0.07348242402076721,24,0.8622311734278538,0.0,0.6136546901038323,0.6343713117616626
