method,n_graphs,mean_f1_mean,mean_f1_ci_low,mean_f1_ci_high,mean_f1_sd,delta_f1_mean,delta_f1_median,delta_f1_ci_low,delta_f1_ci_high,delta_f1_sd,mean_jaccard,mean_exact_match_rate,mean_flip_rate,total_zero_predicted_positive_orderings
ares,24,0.6291815348363409,0.5432894019950413,0.7107237959629843,0.042341587307068856,0.26560808170109607,0.22777777777777786,0.19223831685555792,0.3470238067664539,0.039156472347440595,0.7334197813925672,0.008333333333333333,0.38578471733947745,1
sager,24,0.568788596792698,0.4819942510886443,0.6512953023538287,0.043499015993557676,0.16495514377887094,0.1264550264550265,0.12006337179445527,0.21297693024153805,0.0235568864940421,0.8584530464988197,0.0,0.20767744288448622,0
