method,category,n,recall,fp_rate,tp,fp,fn,tn
ares,source,405,0.7037037037037037,,285,0,120,0
ares,propagated,1841,0.6757197175448126,,1244,0,597,0
ares,ancestor_of_source,910,,0.389010989010989,0,354,0,556
ares,independent,612,,0.477124183006536,0,292,0,320
sager,source,405,0.5950617283950618,,241,0,164,0
sager,propagated,1841,0.6089082020640956,,1121,0,720,0
sager,ancestor_of_source,910,,0.4087912087912088,0,372,0,538
sager,independent,612,,0.5016339869281046,0,307,0,305
