method,threshold,n_examples,mean_pairwise_jaccard,mean_frac_orderings_exact_match_gt,mean_recall,mean_precision
ares,0.03125,24,0.6169639271604753,0.008333333333333333,0.6021587881299891,0.6997698588629961
entail_prev,0.4000000059604645,24,0.6134158177213732,0.0,0.3361624334346965,0.5423161676286676
entail_base,1.0,24,0.9108158240096772,0.0,0.6695354017351566,0.6119073120729682
