dataset,method,recipe_name,threshold,num_orderings,ground_truth_error_node_ids,mean_pairwise_jaccard,frac_orderings_exact_match_gt,mean_recall,mean_precision
captaincookrecipes,entail_prev,microwavemugpizza,0.4000000059604645,10,1;10;11;12;14;15;2;3;4;5;7,0.6876984126984127,0.0,0.3727272727272727,0.6245238095238095
captaincookrecipes,entail_prev,mugcake,0.4000000059604645,10,1;12;13;14;15;16;18;19;2;20;21;3;5;7;9,0.5558465608465609,0.0,0.18666666666666668,0.41003968253968254
captaincookrecipes,entail_prev,panfriedtofu,0.4000000059604645,10,10;11;13;14;15;16;17;18;2;20;3;4;6;7;8;9,0.8042328042328042,0.0,0.28125,0.6972619047619047
captaincookrecipes,entail_prev,pinwheels,0.4000000059604645,9,1;10;11;12;14;15;17;18;19;2;20;3;4;5;6;7;8;9,0.8511904761904762,0.0,0.23456790123456792,0.8055555555555556
captaincookrecipes,entail_prev,ramen,0.4000000059604645,10,1;16;2;9,0.625978835978836,0.0,0.575,0.45999999999999996
captaincookrecipes,entail_prev,sautedmushrooms,0.4000000059604645,10,11;12;13;15;16;17;18;19;3;4;5;8;9,0.6581128747795414,0.0,0.4384615384615385,0.8526190476190475
captaincookrecipes,entail_prev,scrambledeggs,0.4000000059604645,10,1;11;13;14;15;16;17;18;21;22;24;3;5;8;9,0.4937468704135371,0.0,0.26,0.5069444444444444
captaincookrecipes,entail_prev,spicedhotchocolate,0.4000000059604645,6,1;3;8;9,0.8933333333333333,0.0,0.4166666666666667,0.35000000000000003
captaincookrecipes,entail_prev,spicytunaavocadowraps,0.4000000059604645,10,13;14;16;18;2;6;7;8;9,0.5987301587301588,0.0,0.16666666666666666,0.33333333333333337
captaincookrecipes,entail_prev,tomatochutney,0.4000000059604645,10,1;10;13;14;15;16;18;19;2;20;3;4;5;6;7;8;9,0.5202910052910052,0.0,0.31176470588235294,0.8980952380952381
captaincookrecipes,entail_prev,tomatomozzarellasalad,0.4000000059604645,10,1;10;2;3;4;5;6;7;8;9,0.6185185185185185,0.0,0.17,1.0
captaincookrecipes,entail_prev,zoodles,0.4000000059604645,10,1;10;11;12;13;14;2;3;4;5;6;7;8,0.5123544973544973,0.0,0.2692307692307693,0.7633333333333334
captaincookrecipes,entail_base,blenderbananapancakes,1.0,10,15;2;4,0.9846153846153846,0.0,1.0,0.24807692307692308
captaincookrecipes,entail_base,breakfastburritos,1.0,10,12;4;7;8,0.9202020202020201,0.0,1.0,0.4222222222222222
captaincookrecipes,entail_base,broccolistirfry,1.0,10,11;12;15;16;17;2;20;23;25;26;4;7;9,0.8913624338624339,0.0,0.4384615384615385,0.3873901098901099
