dataset,method,n_examples,mean,median,std,ci_low_95,ci_high_95
captaincookrecipes,ares,24,0.4426975628236977,0.45483869314193726,0.13809401712744424,0.386331547463823,0.49636849078288287
captaincookrecipes,entail_prev,24,0.4164198892201905,0.4307692307692308,0.15742122635790842,0.35318788699690407,0.4796969012940209
captaincookrecipes,entail_base,24,0.13446841399627776,0.15,0.08428191715086418,0.10158806156290677,0.16912038375854166
