example_id,node_id,method,num_serializations,mean_score,topodev,topovar,min_score,max_score,score_swing,num_verdict_flips
spicedhotchocolate,1,ares,5,0.7993701100349426,0.026136020849261657,0.00068309158583304,0.7622047662734985,0.8409448862075806,0.07874011993408203,0
spicedhotchocolate,2,ares,5,0.5464567184448242,0.05771606165739506,0.0033311437732402283,0.4755905866622925,0.6149606704711914,0.13937008380889893,1
spicedhotchocolate,3,ares,5,0.8875590443611145,0.017798735166753243,0.00031679497353621856,0.8653543591499329,0.9157480001449585,0.050393640995025635,0
spicedhotchocolate,5,ares,5,0.7625196695327758,0.011329821278825128,0.00012836485021011868,0.7480314373970032,0.774803102016449,0.0267716646194458,0
spicedhotchocolate,6,ares,5,0.9614173769950867,0.0,0.0,0.9614173769950867,0.9614173769950867,0.0,0
spicedhotchocolate,7,ares,5,0.800000011920929,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0
spicedhotchocolate,8,ares,5,0.6269291281700134,0.08017185380937804,0.006427526143232285,0.4874016046524048,0.7251968383789062,0.23779523372650146,1
spicedhotchocolate,9,ares,5,0.8859842538833618,0.01728987737719762,0.00029893985971853,0.856692910194397,0.905511736869812,0.04881882667541504,0
spicedhotchocolate,1,sager,5,0.4050000060349703,0.0,0.0,0.4050000060349703,0.4050000060349703,0.0,0
spicedhotchocolate,2,sager,5,0.42400000631809237,0.0,0.0,0.42400000631809237,0.42400000631809237,0.0,0
spicedhotchocolate,3,sager,5,0.6956666764989495,0.0,0.0,0.6956666764989495,0.6956666764989495,0.0,0
spicedhotchocolate,5,sager,5,0.42400000631809237,0.0,0.0,0.42400000631809237,0.42400000631809237,0.0,0
spicedhotchocolate,6,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
spicedhotchocolate,7,sager,5,0.800000011920929,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0
spicedhotchocolate,8,sager,5,0.23600000351667405,0.0,0.0,0.23600000351667405,0.23600000351667405,0.0,0
spicedhotchocolate,9,sager,5,0.9680000001192093,0.0,0.0,0.9680000001192093,0.9680000001192093,0.0,0
capresebruschetta,1,ares,5,0.8360727667808533,0.04095677909230947,0.0016774577536162385,0.7854545712471008,0.9061818718910217,0.1207273006439209,0
capresebruschetta,2,ares,5,0.8849454641342163,0.0427927867848216,0.0018312226008112022,0.809454619884491,0.9381818175315857,0.12872719764709473,0
capresebruschetta,3,ares,5,0.7623272895812988,0.018297246422535548,0.00033478922664698985,0.7323636412620544,0.784000039100647,0.05163639783859253,0
capresebruschetta,4,ares,5,0.9581090807914734,0.010929433306342998,0.00011945251239779964,0.9439999461174011,0.9738181829452515,0.029818236827850342,0
capresebruschetta,5,ares,5,0.8906908869743347,0.07752723693847656,0.0060104724673146846,0.7356364130973816,0.929454505443573,0.1938180923461914,0
capresebruschetta,6,ares,5,0.8490181922912597,0.04578719177116343,0.002096466930289296,0.796000063419342,0.9109090566635132,0.11490899324417114,0
capresebruschetta,7,ares,5,0.981672728061676,0.009329547514281063,8.704045682122796e-05,0.9650908708572388,0.9934545755386353,0.028363704681396484,0
capresebruschetta,8,ares,5,0.8023273110389709,0.0014102532064332195,1.9888141062551768e-06,0.800000011920929,0.8043637275695801,0.004363715648651123,0
capresebruschetta,9,ares,5,0.6994909286499024,0.08906422372283479,0.007932435947351168,0.537818193435669,0.778181791305542,0.24036359786987305,0
capresebruschetta,10,ares,5,0.7766545295715332,0.019035106054389565,0.00036233526250185834,0.7392727136611938,0.7912726998329163,0.05199998617172241,0
capresebruschetta,11,ares,5,0.7824000239372253,0.005411233261376395,2.928144540902622e-05,0.7738181948661804,0.7890909314155579,0.015272736549377441,0
capresebruschetta,12,ares,5,0.9553454637527465,0.02069652732811748,0.00042834624344351374,0.929454505443573,0.9869091510772705,0.05745464563369751,0
capresebruschetta,1,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
capresebruschetta,2,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
capresebruschetta,3,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
capresebruschetta,4,sager,5,1.0,0.0,0.0,1.0,1.0,0.0,0
capresebruschetta,5,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
capresebruschetta,6,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
capresebruschetta,7,sager,5,0.9884000006914139,1.1102230246251565e-16,1.232595164407831e-32,0.988400000691414,0.988400000691414,0.0,0
capresebruschetta,8,sager,5,0.800000011920929,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0
capresebruschetta,9,sager,5,0.9499999999999977,1.1102230246251565e-16,1.232595164407831e-32,0.9499999999999976,0.9499999999999976,0.0,0
capresebruschetta,10,sager,5,0.800000011920929,0.0,0.0,0.800000011920929,0.800000011920929,0.0,0
capresebruschetta,11,sager,5,0.8020000118017198,1.1102230246251565e-16,1.232595164407831e-32,0.8020000118017196,0.8020000118017196,0.0,0
capresebruschetta,12,sager,5,0.75,0.0,0.0,0.75,0.75,0.0,0
buttercorncup,1,ares,5,0.8817204475402832,0.034856680089143624,0.0012149881468369018,0.8236559629440308,0.9275985360145569,0.10394257307052612,0
buttercorncup,2,ares,5,0.7602867603302002,0.03827876686730874,0.0014652639928817734,0.7290322780609131,0.8071684837341309,0.07813620567321777,0
buttercorncup,3,ares,5,0.7177061080932617,0.03098200054311363,0.0009598843576534932,0.6655914187431335,0.749462366104126,0.08387094736099243,0
buttercorncup,4,ares,5,0.7787814021110535,0.02166300556816729,0.00046928581024644703,0.7455196976661682,0.796057403087616,0.050537705421447754,0
buttercorncup,6,ares,5,0.6174193739891052,0.12463261419536127,0.015533288521169766,0.41541218757629395,0.7150537967681885,0.29964160919189453,1
buttercorncup,7,ares,5,0.8694623589515686,0.032113899086331964,0.0010313025145271128,0.8121863603591919,0.9035841822624207,0.09139782190322876,0
buttercorncup,8,ares,5,0.7580645322799683,0.049501834998217295,0.002450431668190731,0.6637992858886719,0.7913978695869446,0.1275985836982727,0
buttercorncup,9,ares,5,0.3141935706138611,0.04170022644280117,0.001738908885380894,0.268100380897522,0.365591436624527,0.097491055727005,0
buttercorncup,10,ares,5,0.8286021947860718,0.05636542583859969,0.003177061229966682,0.7444444894790649,0.9057347774505615,0.16129028797149658,0
buttercorncup,11,ares,5,0.5848028779029846,0.03452310552857636,0.0011918448153372197,0.5387097001075745,0.6308243870735168,0.09211468696594238,0
buttercorncup,12,ares,5,0.1524731194600463,0.07021380106955233,0.004929977860634667,0.014336916618049145,0.21146953105926514,0.197132614441216,0
