method,n_cases,frac_exceeds_noise_v,frac_correct_direction_v,median_normalized_effect_v,frac_exceeds_noise_u,frac_correct_direction_u,median_normalized_effect_u
ares,245,0.0653061224489796,0.3469387755102041,0.15624996926635595,0.11020408163265306,0.32653061224489793,0.17857152744367466
entail_prev,245,0.40408163265306124,0.5224489795918368,0.0,0.22857142857142856,0.31020408163265306,0.0
entail_base,245,0.08163265306122448,0.08163265306122448,1.0,0.08163265306122448,0.0653061224489796,0.0
